"Block (1 = from Orius Development JB2020.xlsx, 2 = from Orius Development 2 JB2020.xlsx)",Treatment,Cell/Plate #,N1,N2,N3,N4,N5,Adult,Sex,Notes,JB2020 Notes,N1 (days),N2 (days),N3 (days),N4 (days),N5 (days),"Total Development (days) (individuals where an instar was not recorded, ie. missed, are assumed to have taken the difference equally to complete, eg. N1 recorded on the 5th and N3 recorded on the 6th -> N1 and N2 durations  = 1day/2instars = 0.5days/instar)",Sex,Notes,JB2020 Notes,"Fate (A = adult, D = dead, E = escaped, U = unknown not included)"
1,HB,A1,9,10,,,,,,Dead Feb 15,,1,,,,,1,0,Dead Feb 15,0,D
1,HB,A2,9,,,,,,,Dead Feb 15,,,,,,,0,0,Dead Feb 15,0,D
1,HB,A3,9,,,,,,,Dead Feb 10- Ephestia,,,,,,,0,0,Dead Feb 10- Ephestia,0,D
1,HB,A4,9,,,,,,,Escaped Feb 11,,,,,,,0,0,Escaped Feb 11,0,E
1,HB,A5,9,10,,15,19,,,dead feb 22 - agar,,1,2.5,2.5,4,,10,0,dead feb 22 - agar,0,D
1,HB,A6,10,11,15,16,,,,dead feb 22,,1,4,1,,,6,0,dead feb 22,0,D
1,HB,B1,11,,15,,,,,Escaped Feb 17,,2,2,,,,4,0,Escaped Feb 17,0,E
1,HB,B2,11,,,,,,,Escaped Feb 11,,,,,,,0,0,Escaped Feb 11,0,E
1,HB,B3,11,11,,15,18,26,M,,"if this individual molted from N1 to N2 on the same day, then the N1 must have lasted less than 1 but more than 0 days, so 0.5 days is assumed",0.5,2,2,3,8,15.5,M,0,"if this individual molted from N1 to N2 on the same day, then the N1 must have lasted less than 1 but more than 0 days, so 0.5 days is assumed",A
1,HB,B4,10,11,,,,,,Dead Feb 15,,1,,,,,1,0,Dead Feb 15,0,D
1,HB,B5,10,,15,16,19,27,F,Escape Feb 17,"notes said ""Escaped Feb 17"" on paper and excel, but also says adult emerged on 22 and F and has tibia length so included",2.5,2.5,1,3,8,17,F,Escape Feb 17,"notes said ""Escaped Feb 17"" on paper and excel, but also says adult emerged on 22 and F and has tibia length so included",A
1,HB,B6,10,,15,16,22,28,M,,,2.5,2.5,1,6,6,18,M,0,0,A
1,HB,C1,11,11,,,,,,Escaped Feb 15,"if this individual molted from N1 to N2 on the same day, then the N1 must have lasted less than 1 but more than 0 days, so 0.5 days is assumed",0.5,,,,,0.5,0,Escaped Feb 15,"if this individual molted from N1 to N2 on the same day, then the N1 must have lasted less than 1 but more than 0 days, so 0.5 days is assumed",E
