Block,Treatment,Cell/Plate #,Sex,Notes,JB2020 Notes,N1,N2,N3,N4,N5,TotalDevelopment,Fate
1,HB,A1,,Dead Feb 15,,1,,,,,1,D
1,HB,A2,,Dead Feb 15,,,,,,,0,D
1,HB,A3,,Dead Feb 10- Ephestia,,,,,,,0,D
1,HB,A5,,dead feb 22 - agar,,1,2.5,2.5,4,,10,D
1,HB,A6,,dead feb 22,,1,4,1,,,6,D
1,HB,B3,M,,"if this individual molted from N1 to N2 on the same day, then the N1 must have lasted less than 1 but more than 0 days, so 0.5 days is assumed",0.5,2,2,3,8,15.5,A
1,HB,B4,,Dead Feb 15,,1,,,,,1,D
1,HB,B5,F,Escape Feb 17,"notes said ""Escaped Feb 17"" on paper and excel, but also says adult emerged on 22 and F and has tibia length so included",2.5,2.5,1,3,8,17,A
1,HB,B6,M,,,2.5,2.5,1,6,6,18,A
1,HB,C2,,dead feb 25,"if this individual molted from N1 to N2 on the same day, then the N1 must have lasted less than 1 but more than 0 days, so 0.5 days is assumed",0.5,4,1,2,,7.5,D
1,HB,C4,,Dead Feb 15,,,,,,,0,D
1,HB,C6,F,,,0.5,0.5,5,3,8,17,A
1,HB,D2,M,,,2,2,2,3,13,22,A
1,HPS,A1,,Dead Feb 18,,3,,,,,3,D
1,HPS,A3,,Dead Feb 12,,,,,,,0,D
1,HPS,A4,,Dead Feb 12,,,,,,,0,D
1,HPS,A5,F,,,1,1,3,4,11,20,A
1,HPS,A6,,Dead Feb 15,,1,1,,,,2,D
1,HPS,B1,,Dead Feb 19,,2,2,2,,,6,D
1,HPS,B2,M,,"notes said ""Escaped Feb 17"" but not on paper datasheet, possibly was entered in wrong space in excel",1,1,7,2,10,21,A
1,HPS,B3,F,,,1,1,3,3,9,17,A
1,HPS,B4,,Dead Feb 15,,1,1,,,,2,D
1,HPS,B5,M,,,2,3,3,3,8,19,A
1,HPS,B6,M,,"notes said ""Escaped Feb 17"" but not on paper datasheet, possibly was entered in wrong space in excel",1,1,3,8,7,20,A
1,HPS,C2,,Dead Feb 15,,0.5,0.5,,,,1,D
1,HPS,C3,M,,"said Adult emerged on 20, but paper says 27 and M",2,1.5,1.5,3,9,17,A
1,HPS,C4,F,,,1,3,1,3,8,16,A
1,HPS,C5,F,,,0.5,0.5,5,4,9,19,A
1,HPS,D3,M,,,1,3,4,2,7,17,A
1,HPS,D4,,Dead Feb 21,,0.5,0.5,4,3,,8,D
1,HPS,D5,F,,,1,3,1,6,8,19,A
1,HPS,D6,,Dead Feb 15,,1,,,,,1,D
1,HR,A1,,Dead Feb 19,,1,2,1.5,1.5,,6,D
1,HR,A2,M,,,1,1,3,2,9,16,A
1,HR,A3,,Dead Feb 16 - Agar,,1,1,,,,2,D
1,HR,A4,,Dead Feb 16 - Tape,,1,1,3,,,5,D
1,HR,A5,F,,,0.5,0.5,4,2,9,16,A
1,HR,B1,,D march 1,,2,1.5,1.5,2,,7,D
1,HR,B2,,Dead Feb 12- Tape,,,,,,,0,D
1,HR,B3,,Dead Feb 15,,2,,,,,2,D
1,HR,C2,F,,,1,1,4,2,12,20,A
1,HR,C5,,Dead Feb 12 - Sticky,,,,,,,0,D
1,HR,C6,F,,,1,3,2,9,5,20,A
1,HR,D1,F,,,1,1,4,4,8,18,A
1,HR,D2,,Dead Feb 21,,2,2,2,,,6,D
1,HR,D3,,Dead February 15,,2,,,,,2,D
1,HR,D4,M,,,2,4,1,5,6,18,A
1,HR,D5,F,,,1,3,2,1,8,15,A
1,HR,D6,,Dead Feb 19 - Molting,,0.5,0.5,5,,,6,D
1,LB,A2,,Dead February 16,,2,1,1.5,1.5,,6,D
1,LB,A5,M,,,0.5,0.5,5,2,6,14,A
1,LB,B1,,Dead February 15,,1,1.5,1.5,,,4,D
1,LB,B3,F,,,1,4,3,2,9,19,A
1,LB,B5,,Dead Feb 16,,0.5,0.5,,,,1,D
1,LB,B6,F,,,1,1.5,1.5,3,8,15,A
1,LB,C3,,dead feb 29,,2,2,2,2,,8,D
1,LB,C6,,Dead February 15,,,,,,,0,D
1,LB,D1,M,,,1,3,1,2,8,15,A
1,LB,D2,M,,,1,3,2,3,7,16,A
1,LB,D3,F,,,1,3,2,3,10,19,A
1,LB,D5,M,,,1,3,3,3,10,20,A
1,LR,A1,,Dead Feb 10 - On Tape,,,,,,,0,D
1,LR,B1,,dead feb 25,,1,4,2,1,,8,D
1,LR,C2,,dead march 4,,1,2,2,10,,15,D
1,LR,D1,,dead feb 21 - mold,,1,4,2,,,7,D
1,LR,D2,,Dead Feb 11- On ephestia strip,,,,,,,0,D
1,S,A2,F,,,1,2,3,2,2,10,A
1,S,A4,,Dead Feb 15,,1.5,1.5,,,,3,D
1,S,A6,,Dead Feb 15,,1.5,1.5,,,,3,D
1,S,B1,,Dead Feb 15,,1.5,1.5,,,,3,D
1,S,B2,,Dead Feb 10,,,,,,,0,D
1,S,B5,,Dead Feb 15,,1,2,,,,3,D
1,S,C1,,Dead Feb 16,,1.5,1.5,,,,3,D
