Block,Treatment,Rep,N1d,N2d,N3d,N4d,N5d,Total Development (days)
1,LB,1,0.5,0.5,5,2,6,14
1,LB,2,1,4,3,2,9,19
1,LB,3,1,1.5,1.5,3,8,15
1,LB,4,1,3,1,2,8,15
1,LB,5,1,3,2,3,7,16
1,LB,6,1,3,2,3,10,19
1,HR,1,1,1,3,2,9,16
1,HR,2,0.5,0.5,4,2,9,16
1,HR,3,1,3,2,9,5,20
1,HR,4,1,1,4,4,8,18
1,HR,5,2,4,1,5,6,18
1,HR,6,1,3,2,1,8,15
1,HPS,1,1,1,3,4,10,19
1,HPS,2,1,1,7,2,10,21
1,HPS,3,1,1,3,3,9,17
1,HPS,4,2,3,3,3,8,19
1,HPS,5,2,1.5,1.5,3,9,17
1,HPS,6,1,3,1,3,8,16
1,HPS,7,0.5,0.5,5,4,9,19
1,HPS,8,1,3,4,2,7,17
1,HPS,9,1,3,1,6,8,19
1,S,1,1,2,3,2,2,10
1,S,2,1,2,3,2,2,10
1,S,3,1,2,1.5,1.5,3,9
1,S,4,1.5,1.5,3,2,2,10
1,HB,1,1,1.5,1.5,3,8,15
1,HB,2,2.5,2.5,1,3,8,17
1,HB,3,2.5,2.5,1,6,6,18
1,HB,4,0.5,0.5,5,3,8,17
1,HB,5,2,2,2,3,13,22
2,LB,1,1,3,3,4,6,17
2,LB,2,2,2,4,3,6,17
2,LB,3,2,2,3,3,5,15
2,LB,4,1,2,4,3,5,15
2,LB,5,1,2,4,1,7,15
2,LR,1,1,3,3,3,7,17
2,LR,2,1,6,6,2,3,18
2,LR,3,1,3,4,3,7,18
2,LR,4,1,3,2,5,6,17
2,HB,1,2,1,2,3,8,16
2,HB,2,1,3,2,3,6,15
2,HB,3,1,2,4,1,10,18
2,HB,4,2,3,2,5,6,18
2,HR,1,2,2,4,2,6,16
2,HR,2,2,1,2,3,8,16
2,HR,3,1,2,3,6,9,21
2,HR,4,2,2,4,2,5,15
2,W,1,2,2,2,3,10,19
2,W,2,1,3,2,3,6,15
2,W,3,1,3,2,4,6,16
2,W,4,2,2,2,3,6,15
2,W,5,1,2,2,3,7,15
2,W,6,1,2,3,3,10,19
2,W,7,1,2,2,3,8,16
2,S,1,0.5,0.5,2,1,2,6
2,S,2,1,1,2,1,2,7
2,S,3,1,1,3,1,3,9
2,S,4,1,1.5,1.5,3,1,8
2,S,5,1,1.5,1.5,3,1,8
2,S,6,1,1.5,1.5,3,1,8
2,S,7,1,1.5,1.5,2,1,7
2,S,8,1,1.5,1.5,4,1,9
2,S,9,1,1.5,1.5,2,2,8
2,S,10,1,1.5,1.5,2,2,8
2,S,11,1,1,2,1,2,7
2,S,12,1,2,1,1,3,8
2,S,13,1,1,2,1,2,7
2,HPS,1,2,1,2,6,6,17
2,HPS,2,1,2,3,2,5,13
2,HPS,3,1,2,3,2,7,15
