Block,Treatment,Rep,Nymphal Instar,Development Time (days),Total Development (days)
1,LB,1,N1d,0.5,14
1,LB,1,N2d,0.5,14
1,LB,1,N3d,5,14
1,LB,1,N4d,2,14
1,LB,1,N5d,6,14
1,LB,2,N1d,1,19
1,LB,2,N2d,4,19
1,LB,2,N3d,3,19
1,LB,2,N4d,2,19
1,LB,2,N5d,9,19
1,LB,3,N1d,1,15
1,LB,3,N2d,1.5,15
1,LB,3,N3d,1.5,15
1,LB,3,N4d,3,15
1,LB,3,N5d,8,15
1,LB,4,N1d,1,15
1,LB,4,N2d,3,15
1,LB,4,N3d,1,15
1,LB,4,N4d,2,15
1,LB,4,N5d,8,15
1,LB,5,N1d,1,16
1,LB,5,N2d,3,16
1,LB,5,N3d,2,16
1,LB,5,N4d,3,16
1,LB,5,N5d,7,16
1,LB,6,N1d,1,19
1,LB,6,N2d,3,19
1,LB,6,N3d,2,19
1,LB,6,N4d,3,19
1,LB,6,N5d,10,19
1,HR,1,N1d,1,16
1,HR,1,N2d,1,16
1,HR,1,N3d,3,16
1,HR,1,N4d,2,16
1,HR,1,N5d,9,16
1,HR,2,N1d,0.5,16
1,HR,2,N2d,0.5,16
1,HR,2,N3d,4,16
1,HR,2,N4d,2,16
1,HR,2,N5d,9,16
1,HR,3,N1d,1,20
1,HR,3,N2d,3,20
1,HR,3,N3d,2,20
1,HR,3,N4d,9,20
1,HR,3,N5d,5,20
1,HR,4,N1d,1,18
1,HR,4,N2d,1,18
1,HR,4,N3d,4,18
1,HR,4,N4d,4,18
1,HR,4,N5d,8,18
1,HR,5,N1d,2,18
1,HR,5,N2d,4,18
1,HR,5,N3d,1,18
1,HR,5,N4d,5,18
1,HR,5,N5d,6,18
1,HR,6,N1d,1,15
1,HR,6,N2d,3,15
1,HR,6,N3d,2,15
1,HR,6,N4d,1,15
1,HR,6,N5d,8,15
1,HPS,1,N1d,1,19
1,HPS,1,N2d,1,19
1,HPS,1,N3d,3,19
1,HPS,1,N4d,4,19
1,HPS,1,N5d,10,19
1,HPS,2,N1d,1,21
1,HPS,2,N2d,1,21
1,HPS,2,N3d,7,21
1,HPS,2,N4d,2,21
1,HPS,2,N5d,10,21
1,HPS,3,N1d,1,17
1,HPS,3,N2d,1,17
1,HPS,3,N3d,3,17
1,HPS,3,N4d,3,17
1,HPS,3,N5d,9,17
1,HPS,4,N1d,2,19
1,HPS,4,N2d,3,19
1,HPS,4,N3d,3,19
1,HPS,4,N4d,3,19
1,HPS,4,N5d,8,19
1,HPS,5,N1d,2,17
1,HPS,5,N2d,1.5,17
1,HPS,5,N3d,1.5,17
1,HPS,5,N4d,3,17
1,HPS,5,N5d,9,17
1,HPS,6,N1d,1,16
1,HPS,6,N2d,3,16
1,HPS,6,N3d,1,16
1,HPS,6,N4d,3,16
1,HPS,6,N5d,8,16
1,HPS,7,N1d,0.5,19
1,HPS,7,N2d,0.5,19
1,HPS,7,N3d,5,19
1,HPS,7,N4d,4,19
1,HPS,7,N5d,9,19
1,HPS,8,N1d,1,17
1,HPS,8,N2d,3,17
1,HPS,8,N3d,4,17
1,HPS,8,N4d,2,17
1,HPS,8,N5d,7,17
1,HPS,9,N1d,1,19
1,HPS,9,N2d,3,19
1,HPS,9,N3d,1,19
1,HPS,9,N4d,6,19
1,HPS,9,N5d,8,19
1,S,1,N1d,1,10
1,S,1,N2d,2,10
1,S,1,N3d,3,10
1,S,1,N4d,2,10
1,S,1,N5d,2,10
1,S,2,N1d,1,10
1,S,2,N2d,2,10
1,S,2,N3d,3,10
1,S,2,N4d,2,10
1,S,2,N5d,2,10
1,S,3,N1d,1,9
1,S,3,N2d,2,9
1,S,3,N3d,1.5,9
1,S,3,N4d,1.5,9
1,S,3,N5d,3,9
1,S,4,N1d,1.5,10
1,S,4,N2d,1.5,10
1,S,4,N3d,3,10
1,S,4,N4d,2,10
1,S,4,N5d,2,10
1,HB,1,N1d,1,15
1,HB,1,N2d,1.5,15
1,HB,1,N3d,1.5,15
1,HB,1,N4d,3,15
1,HB,1,N5d,8,15
1,HB,2,N1d,2.5,17
1,HB,2,N2d,2.5,17
1,HB,2,N3d,1,17
1,HB,2,N4d,3,17
1,HB,2,N5d,8,17
1,HB,3,N1d,2.5,18
1,HB,3,N2d,2.5,18
1,HB,3,N3d,1,18
1,HB,3,N4d,6,18
1,HB,3,N5d,6,18
1,HB,4,N1d,0.5,17
1,HB,4,N2d,0.5,17
1,HB,4,N3d,5,17
1,HB,4,N4d,3,17
1,HB,4,N5d,8,17
1,HB,5,N1d,2,22
1,HB,5,N2d,2,22
1,HB,5,N3d,2,22
1,HB,5,N4d,3,22
1,HB,5,N5d,13,22
2,LB,1,N1d,1,17
2,LB,1,N2d,3,17
2,LB,1,N3d,3,17
2,LB,1,N4d,4,17
2,LB,1,N5d,6,17
2,LB,2,N1d,2,17
2,LB,2,N2d,2,17
2,LB,2,N3d,4,17
2,LB,2,N4d,3,17
2,LB,2,N5d,6,17
2,LB,3,N1d,2,15
2,LB,3,N2d,2,15
2,LB,3,N3d,3,15
2,LB,3,N4d,3,15
